file_html,test_me_inf,instance,Note,R1-add,R2-replace,R4-overload,R5-complex,
https://github.com/sympy/sympy/tree/master/sympy/solvers/polysys.py,"('https://github.com/sympy/sympy/tree/master/sympy/solvers/tests/test_polysys.py', 'sympy.solvers.tests.test_polysys', '', 'test_solve_triangulated')",1,"zeros:
list",,1,,,1
https://github.com/sympy/sympy/tree/master/sympy/solvers/polysys.py,"('https://github.com/sympy/sympy/tree/master/sympy/solvers/tests/test_polysys.py', 'sympy.solvers.tests.test_polysys', '', 'test_solve_triangulated')",0,,1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/simplify/radsimp.py,"('https://github.com/sympy/sympy/tree/master/sympy/simplify/tests/test_radsimp.py', 'sympy.simplify.tests.test_radsimp', '', 'test_collect_const')",0,,,,,1,1
https://github.com/sympy/sympy/tree/master/sympy/simplify/radsimp.py,"('https://github.com/sympy/sympy/tree/master/sympy/simplify/tests/test_radsimp.py', 'sympy.simplify.tests.test_radsimp', '', 'test_collect_const')",1,,,,,1,1
https://github.com/sympy/sympy/tree/master/sympy/simplify/radsimp.py,"('https://github.com/sympy/sympy/tree/master/sympy/simplify/tests/test_radsimp.py', 'sympy.simplify.tests.test_radsimp', '', 'test_collect_const')",2,,,,,1,1
https://github.com/sympy/sympy/tree/master/sympy/simplify/radsimp.py,"('https://github.com/sympy/sympy/tree/master/sympy/simplify/tests/test_radsimp.py', 'sympy.simplify.tests.test_radsimp', '', 'test_collect_const')",0,,1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/simplify/radsimp.py,"('https://github.com/sympy/sympy/tree/master/sympy/simplify/tests/test_radsimp.py', 'sympy.simplify.tests.test_radsimp', '', 'test_collect_const')",3,,,,,1,1
https://github.com/sympy/sympy/tree/master/sympy/simplify/radsimp.py,"('https://github.com/sympy/sympy/tree/master/sympy/simplify/tests/test_radsimp.py', 'sympy.simplify.tests.test_radsimp', '', 'test_collect_const')",4,,,,,1,1
https://github.com/sympy/sympy/tree/master/sympy/polys/distributedmodules.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_distributedmodules.py', 'sympy.polys.tests.test_distributedmodules', '', 'test_nontrivial')",6,,,,,1,1
https://github.com/sympy/sympy/tree/master/sympy/polys/distributedmodules.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_distributedmodules.py', 'sympy.polys.tests.test_distributedmodules', '', 'test_local')",5,,1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/polys/distributedmodules.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_distributedmodules.py', 'sympy.polys.tests.test_distributedmodules', '', 'test_nontrivial')",13,,1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/polys/distributedmodules.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_distributedmodules.py', 'sympy.polys.tests.test_distributedmodules', '', 'test_nontrivial')",7,,1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/polys/distributedmodules.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_distributedmodules.py', 'sympy.polys.tests.test_distributedmodules', '', 'test_nontrivial')",12,,1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/polys/distributedmodules.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_distributedmodules.py', 'sympy.polys.tests.test_distributedmodules', '', 'test_nontrivial')",10,,1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/polys/distributedmodules.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_distributedmodules.py', 'sympy.polys.tests.test_distributedmodules', '', 'test_nontrivial')",8,,1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/polys/distributedmodules.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_distributedmodules.py', 'sympy.polys.tests.test_distributedmodules', '', 'test_nontrivial')",5,,1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/polys/distributedmodules.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_distributedmodules.py', 'sympy.polys.tests.test_distributedmodules', '', 'test_nontrivial')",9,,1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/polys/distributedmodules.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_distributedmodules.py', 'sympy.polys.tests.test_distributedmodules', '', 'test_nontrivial')",4,,1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/polys/distributedmodules.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_distributedmodules.py', 'sympy.polys.tests.test_distributedmodules', '', 'test_nontrivial')",11,,1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/polys/distributedmodules.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_distributedmodules.py', 'sympy.polys.tests.test_distributedmodules', '', 'test_chain_criterion')",0,,1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/polys/distributedmodules.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_distributedmodules.py', 'sympy.polys.tests.test_distributedmodules', '', 'test_local')",6,,1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/polys/distributedmodules.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_distributedmodules.py', 'sympy.polys.tests.test_distributedmodules', '', 'test_local')",7,,1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/polys/distributedmodules.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_distributedmodules.py', 'sympy.polys.tests.test_distributedmodules', '', 'test_local')",3,,1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/polys/distributedmodules.py,"('https://github.com/sympy/sympy/tree/master/sympy/polys/tests/test_distributedmodules.py', 'sympy.polys.tests.test_distributedmodules', '', 'test_local')",2,,1,,,,1
